Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Security Guard,0.06032484046262045,0.44248956941010653,Master's,0.08249269829716985,0.357468359287736,0.40737134961565363,High,0.2062317457429246,0.045829276831761044,0.2108146734261007,0.15123661354481138,0.06416098756446545,0.2978902994064467,0.027497566099056615,0.3299707931886794,0.4307952022185536,0.0
Research Scientist,0.38970096263410053,0.311529271667143,PhD,0.28006481522876153,0.275547640789588,0.0,Low,0.009034348878347155,0.23489307083702582,0.18068697756694288,0.02258587219586786,0.43816592059983656,0.1038950121009922,0.04065456995256217,0.28006481522876153,0.17165262868859577,0.44268309503901015
Construction Worker,0.40126825873674954,0.02852684893033173,High School,0.35572980616123623,0.28127473045307044,0.34929541690250593,High,0.004136393094898099,0.38882095092042096,0.23163801331429332,0.16131933070102572,0.008272786189796199,0.09513704118265622,0.09927343427755429,0.2812747304530705,0.2523199787887838,0.3433206268765419
Software Engineer,0.41107601350400347,0.20723288839550508,PhD,0.1802926129040894,0.08321197518650282,0.2825097922998552,Medium,0.19878416294553442,0.0970806377175866,0.26350458809059213,0.013868662531083811,0.38832255087034634,0.208029937966257,0.18491550041445068,0.4299285384635978,0.33747078825637244,0.1525552878419218
Financial Analyst,0.1478010317032984,0.33267217010727795,High School,0.22803165114626137,0.42098150980848253,0.2874757995219962,Medium,0.3288918045378769,0.23680209926727144,0.25872821956979647,0.42536673386898755,0.2674986676908066,0.12278627369414075,0.1315567218151508,0.07454880902858546,0.00877044812101006,0.1841794105412111
AI Engineer,0.22925250300428068,0.16647113736441513,Master's,0.12727475138497552,0.004388784530516401,0.024382136280646664,Low,0.3116037016666642,0.34671397791079545,0.2677158563615002,0.408156961338025,0.28527099448356585,0.39937939227699215,0.37304668509389377,0.19749530387323788,0.043887845305163965,0.1623850276291067
Mechanic,0.2808816411622549,0.34496336523804694,PhD,0.29141905159022835,0.25662274692273845,0.1739815233374498,Medium,0.24357413267242964,0.16528244717057727,0.42190519409331556,0.3697107370920807,0.31316674200740957,0.10438891400246986,0.11308799016934235,0.01739815233374497,0.3088172039239733,0.04784491891779868
Teacher,0.0865926458497731,0.18348197295461244,High School,0.08868295359472934,0.399073291176282,0.05912196906315295,Low,0.24831227006524212,0.31039033758155266,0.062078067516310516,0.266048860784188,0.23944397470576922,0.08868295359472934,0.4168098818952279,0.266048860784188,0.30595618990181617,0.3902049958168091
HR Specialist,0.4615535911482797,0.2094804157875632,Master's,0.1518733014459833,0.05568687719686054,0.24187229489545495,Medium,0.11137375439372107,0.21262262202437662,0.4454950175748843,0.16199818820904888,0.06074932057839332,0.18224796173517996,0.4606823477194827,0.136685971301385,0.32905881979963053,0.0
Customer Support,0.20355283571251048,0.03057720777529074,High School,0.004433695127417131,0.22611845149827475,0.3694745939514294,High,0.09754129280317733,0.05320434152900583,0.15074563433218316,0.41676734197721227,0.14187824407734886,0.23055214662569193,0.3103586589192006,0.15961302458701748,0.43006842735946377,0.4256347322320466
UX Researcher,0.2330079701310857,0.10955431536643487,High School,0.2647562621355508,0.15885375728133053,0.21180500970844068,Medium,0.021180500970844056,0.32300263980537197,0.26475626213555076,0.026475626213555075,0.14826350679590847,0.48185639708670247,0.12708300582506438,0.07413175339795423,0.2594611368928398,0.5242173990283906
Financial Analyst,0.32992508594126807,0.3428823875622666,High School,0.3028274904697654,0.343505810085107,0.17577051685641445,Medium,0.3299463702133264,0.16723309175196,0.2847482373073913,0.28474823730739135,0.24406991769204972,0.04067831961534163,0.3796643164098551,0.1446340252989924,0.08587645252127675,0.018079253162374045
Lawyer,0.1904669528793333,0.42664099260706984,High School,0.311605939785608,0.009164880581929656,0.22912201454824124,Medium,0.10539612669219094,0.29785861891271354,0.07790148494640196,0.3161883800765728,0.17871517134762813,0.4307493873506934,0.06415416407350753,0.155802969892804,0.050406843200613054,0.4215845067687638
Data Scientist,0.321651361434252,0.13909764236412064,High School,0.11653291371394106,0.2958143194276965,0.2888422647610505,Medium,0.2509939679992576,0.237547862570726,0.10756884342825325,0.04033831628559496,0.4033831628559498,0.4033831628559498,0.28236821399916484,0.15238919485669217,0.156871229999536,0.3271885654276037
Research Scientist,0.2729123078960381,0.32125819368993513,Master's,0.4364038936388013,0.3824663337508596,0.08717181396030986,Low,0.03922731628213945,0.07845463256427887,0.44130730817406866,0.2991082866513132,0.004903414535267408,0.04903414535267432,0.3236253593276504,0.004903414535267408,0.0784546325642789,0.26968779943970866
Graphic Designer,0.012364364572041908,0.03597321096705532,High School,0.33904751336449607,0.11475454298490634,0.3071712514242443,Medium,0.12518677416535237,0.17213181447735953,0.3912086692667261,0.33904751336449607,0.44336982516895634,0.34426362895471907,0.2973185886427119,0.04694504031200713,0.1929962768382516,0.14083512093602144
Teacher,0.025465903443407656,0.4444121118475953,Bachelor's,0.43107974849216746,0.1733207236205622,0.10863407178496778,Low,0.279979630463985,0.3510855683596003,0.2222060559237976,0.2577590248716053,0.21776193480532172,0.08888242236951907,0.31997672053026865,0.12443539131732671,0.008888242236951914,0.288867872700937
Teacher,0.23090345508543786,0.14230361663175387,Bachelor's,0.3526542353983281,0.35640587620043795,0.09587526494280792,Low,0.13881070967806533,0.007503281604219754,0.3489025945962182,0.16132055449072455,0.3639091578046577,0.36015751700254783,0.3188894681793392,0.10879758326118633,0.14631399128228506,0.3188894681793392
Retail Worker,0.3844709873254502,0.026915941219877202,PhD,0.06634779510699723,0.21855744270540264,0.3816082332951475,High,0.27319680338175323,0.22246025418228477,0.039028114768821905,0.24197431156669574,0.38637833621133677,0.05463936067635066,0.20294619679787385,0.34344740996563267,0.288808049289282,0.27319680338175323
Doctor,0.38029357082328047,0.3018848691725931,Master's,0.3210042442201907,0.17509322412010403,0.06484934226670522,Low,0.15174746090409014,0.3560228890442114,0.04669152643202774,0.0058364408040035036,0.36769577065221837,0.11089237527606587,0.04085508562802427,0.23345763216013868,0.029182204020017324,0.5194432315563086
AI Engineer,0.07215314120783847,0.02228277103938305,High School,0.05815803241278961,0.37479620888242215,0.007180004001578978,Low,0.3037141692667903,0.34894819447673786,0.187398104441211,0.3812582124838432,0.01938601080426323,0.02584801440568427,0.5298842953165278,0.23263212965115854,0.08400604681847393,0.3360241872738957
HR Specialist,0.07282948037625298,0.41693601721125295,Bachelor's,0.0985204366595479,0.27764850331327146,0.13932182961956274,Medium,0.02239100833171543,0.23734468831618363,0.24182288998252666,0.28660490664595756,0.32690872164304535,0.4388637633016225,0.23286648664984053,0.14330245332297878,0.358256133307447,0.12091144499126336
Teacher,0.12285769814981545,0.44948249567169657,PhD,0.041711975598333444,0.01564199084937505,0.13903991866111148,Low,0.437975743782501,0.3649797864854175,0.21377387494145877,0.08863794814645856,0.08342395119666689,0.13034992374479198,0.28676983223854235,0.3701937834352092,0.3441237986862508,0.14599191459416702
Financial Analyst,0.013380523671853025,0.46703830943570046,High School,0.3579515043032189,0.26604503698212223,0.26335771337624225,Medium,0.20316166460452964,0.120929562264601,0.17413856966102537,0.36762586928438706,0.004837182490584018,0.05804618988700848,0.024185912452920195,0.01934872996233615,0.4159976941902274,0.33860277434088276
AI Engineer,0.4052573977162844,0.2631442435588604,PhD,0.050874553754712996,0.24928531339809373,0.06783273833961741,Low,0.08648674138301216,0.21876058114526592,0.20349821501885199,0.31542223327922064,0.32559714403016327,0.025437276877356526,0.18823584889243813,0.3205096886546919,0.254372768773565,0.43752116229053184
